Time,Month,Day,Hour,APS,ATSI,COMED,DOM,AE,PS,PECO,JCPL,DPL,RECO,PENLC,BGE,PEPCO,METED,PL,AEP,DAY,DLCO,DEOK,EKPC,OVEC
4329,6,181,10,7536.101505,11352.29017,16407.83404,16420.90371,2209.774218,8210.702821,6774.900118,4967.597551,3271.98036,322.829633,2446.623826,5882.929792,5360.843163,2536.95935,6201.320992,20375.44404,2987.04865,2541.937513,4855.722469,1970.753575,81.04357707
4330,6,181,11,7525.046902,11516.59139,16861.76746,16616.22073,2251.788597,8366.812696,6903.711115,5062.046352,3334.190436,328.9675843,2414.934839,5972.251375,5442.23781,2529.099614,6182.108722,20670.98479,3030.375049,2578.807684,4926.153517,1999.338866,82.21909401
4331,6,181,12,7415.882176,11520.75681,17294.17245,16730.37985,2276.267256,8457.76633,6978.759719,5117.074656,3370.435628,332.5437128,2386.328163,6066.151666,5527.804824,2475.308023,6050.621033,20766.05281,3044.312059,2590.66789,4948.809411,2008.534033,82.59722819
4332,6,181,13,7380.700286,11530.71992,17484.68715,16811.70346,2285.173567,8490.858884,7006.065389,5137.096144,3383.623073,333.8448507,2377.95804,6169.336601,5621.832506,2367.295917,5786.597196,20714.96815,3036.823027,2584.294826,4936.6353,2003.593024,82.39403835
4333,6,181,14,7290.808154,11456.01649,17593.53521,16741.06929,2280.543382,8473.654832,6991.869803,5126.687436,3376.767226,333.1684192,2373.739857,6122.351744,5579.017368,2290.025017,5597.716891,20508.63847,3006.575009,2558.554177,4887.464363,1983.636405,81.57335953
4334,6,181,15,7102.421099,11315.61202,17509.39894,16513.04818,2233.121442,8297.45246,6846.479878,5020.082375,3306.550253,326.2404682,2355.676563,5996.963584,5464.756909,2212.116121,5407.277077,20234.38028,2966.368644,2524.33911,4822.105216,1957.109607,80.48249425
4335,6,181,16,6922.193325,11113.71839,17485.50151,16168.83208,2190.778449,8140.121578,6716.661392,4924.894847,3243.853603,320.0545092,2314.165072,5884.041479,5361.856191,2162.109528,5285.041404,19599.39216,2873.279119,2445.121198,4670.779626,1895.692289,77.95682124
4336,6,181,17,6716.874257,10822.66217,17115.03018,15845.78737,2161.706911,8032.102504,6627.531575,4859.541698,3200.807801,315.8073992,2282.090712,5825.710887,5308.702208,2111.038818,5160.204611,18888.06304,2768.997971,2356.379369,4501.261023,1826.891118,75.127501
4337,6,181,18,6542.553013,10582.29355,16527.87187,15476.89966,2110.930066,7843.434548,6471.855918,4745.394774,3125.62327,308.3893245,2258.673671,5678.251531,5174.329284,2061.531506,5039.189376,18304.06607,2683.38377,2283.522856,4362.087261,1770.405767,72.80464592
4338,6,181,19,6310.747012,10132.70249,16177.65035,15067.20589,2026.86702,7531.087395,6214.128802,4556.420092,3001.152348,296.1084128,2199.984221,5494.422083,5006.813968,1980.482192,4841.073149,17576.39513,2576.706905,2192.742304,4188.674199,1700.023983,69.9103259
